,iter,loss
0,10,90.41520516378318
1,20,190.3603403426758
2,30,280.7465976317056
3,40,345.68263412140465
4,50,413.2441341328197
5,60,465.9977043991244
6,70,516.0617767618694
7,80,577.1489378356595
8,90,617.8578601549497
9,100,655.0168092730437
10,110,690.049556222683
11,120,723.8384876264794
12,130,745.3843679732307
13,140,761.0269294063396
14,150,782.6934268165197
15,160,816.1641484164529
16,170,833.1890940029879
17,180,842.3168714884262
18,190,842.2983349193365
19,200,852.7511643313463
20,210,857.0213419789392
21,220,865.8536991663103
22,230,873.5697977275136
23,240,885.8307415108846
24,250,884.209005738741
25,260,892.208517403834
26,270,890.956577439268
27,280,894.6765933653056
28,290,911.9233676119051
29,300,915.9436552308619
30,310,920.4546819862003
31,320,930.0903468471018
32,330,928.9058170579082
33,340,915.9398152336929
34,350,916.2748113168745
35,360,925.0019433641589
36,370,927.635172003701
37,380,923.9856864024049
38,390,920.3475845411468
39,400,919.149336144005
40,410,913.6810139233187
41,420,907.0468762966425
42,430,910.2241619804416
43,440,911.1104729352465
44,450,899.9903487628369
45,460,895.5517826044736
46,470,890.3106303602918
47,480,883.4004016823272
48,490,881.1197154669583
49,500,879.4021594811468
50,510,877.6741196798599
51,520,874.3608529168614
52,530,874.1682518398782
53,540,871.9235535086603
54,550,866.6816727122088
55,560,863.4352897497449
56,570,871.2400918337704
57,580,872.4693894360867
58,590,871.3681128666619
59,600,874.5691406412006
60,610,874.5065493459412
61,620,871.6985749833913
62,630,867.1613324377579
63,640,857.7114968498623
64,650,858.7423038371519
65,660,857.17577575245
66,670,854.1161509701514
67,680,861.5494078344295
68,690,864.0041742317995
69,700,858.9642784477642
70,710,854.6944910199388
71,720,852.7420225651116
72,730,847.7795870817085
73,740,847.4964425796443
74,750,845.8171230028528
75,760,846.0408749431232
76,770,845.8981254670324
77,780,849.062077397451
78,790,847.7833673438373
79,800,852.6279291978046
80,810,850.8571885121745
81,820,850.5564919198446
82,830,850.6308427552271
83,840,850.688911892464
84,850,844.9653331250871
85,860,837.8929485798151
86,870,831.5390822334472
87,880,829.6316067912144
88,890,831.4961384684404
89,900,832.3332891314935
90,910,831.893625264711
91,920,825.0924945163322
92,930,821.115273445097
93,940,819.1599691666407
94,950,811.7136459244182
95,960,812.337797434903
96,970,816.9646953200493
97,980,819.181744105637
98,990,818.2371588645406
99,1000,819.2136745438454
100,1010,818.1988303065343
101,1020,820.321080275967
102,1030,821.6100333001435
103,1040,820.0123972021644
104,1050,821.287244304956
105,1060,812.949061183982
106,1070,804.3339374963448
107,1080,802.9469278276338
108,1090,794.0942854104771
109,1100,791.6005272114418
110,1110,791.167327417584
111,1120,786.6636745558229
112,1130,785.7043985332102
113,1140,787.2557745735592
114,1150,786.2400152010681
115,1160,782.4889913141825
116,1170,789.5027775082729
117,1180,787.8117647267902
118,1190,787.7580676344016
119,1200,786.0302028275638
120,1210,789.0712033227535
121,1220,784.886608946378
122,1230,787.1484355238622
123,1240,781.7668261497993
124,1250,778.8665410005661
125,1260,778.0971926681526
126,1270,779.8546223543588
127,1280,776.2374623905542
128,1290,781.3555399651552
129,1300,777.0311518629854
130,1310,775.8414597082361
131,1320,773.1390351587046
132,1330,771.6857391084508
133,1340,767.7073998747029
134,1350,764.7558576098997
135,1360,765.7994790570503
136,1370,764.6473025142167
137,1380,764.9999826306357
138,1390,766.7383489879636
139,1400,764.3358807787893
140,1410,758.4327438007683
141,1420,754.4211996930175
142,1430,755.6198063237847
143,1440,750.1353003524397
144,1450,748.4971613062511
145,1460,750.9602133753465
146,1470,745.9436565726058
147,1480,754.4240139829718
148,1490,754.1569134484828
149,1500,753.8744564773881
150,1510,748.0045841051225
151,1520,749.2152549949801
152,1530,759.2473875863959
153,1540,748.8631963661336
154,1550,748.1553222182363
155,1560,739.6878916494469
156,1570,735.9183766250854
157,1580,735.1671845580928
158,1590,732.0794099195929
159,1600,735.4789540760364
160,1610,736.8884029277235
161,1620,736.0507002149513
162,1630,734.6550610566397
163,1640,734.0905894775589
164,1650,734.4060916438214
165,1660,733.213577890787
166,1670,729.1376478602442
167,1680,731.9610790599957
168,1690,726.9658338692452
169,1700,722.1002991219398
170,1710,719.2165309937301
171,1720,720.5361513419829
172,1730,721.3726808149182
173,1740,718.9281759057003
174,1750,719.1468362983543
175,1760,721.4441509829428
176,1770,722.5302201810694
177,1780,720.6011933750607
178,1790,718.9650561726387
179,1800,719.4671945145127
180,1810,717.6587299191658
181,1820,708.7163579461431
182,1830,711.3760710011609
183,1840,709.1237062704398
184,1850,705.8373131893884
185,1860,700.4933471732619
186,1870,698.9209214134296
187,1880,701.6257559487742
188,1890,698.4357163506186
189,1900,698.8885077023062
190,1910,695.8263210647171
191,1920,692.5049801471473
192,1930,695.345025496017
193,1940,694.2639812717464
194,1950,691.8432717851399
195,1960,690.2893744440947
196,1970,696.5643998828666
197,1980,692.9643053388909
198,1990,695.716292134895
199,2000,693.9871513511837
200,2010,697.227509283952
201,2020,693.4553326193927
202,2030,693.4439507512636
203,2040,687.1117808154269
204,2050,689.6491545809806
205,2060,691.6878166417174
206,2070,686.5257604616116
207,2080,683.207498241292
208,2090,681.8150386115369
209,2100,673.9916298421532
210,2110,675.2122922127097
211,2120,674.4889227240294
212,2130,670.371542838188
213,2140,672.3300734091205
214,2150,667.110451696049
215,2160,669.215421434342
216,2170,677.2401143331566
217,2180,673.4311159640931
218,2190,674.580379595136
219,2200,673.2563729920572
220,2210,672.1568341937968
221,2220,668.4131762796411
222,2230,663.8127458539622
223,2240,667.0464646950321
224,2250,666.2003550638764
225,2260,664.8562300259715
226,2270,657.9848640740554
227,2280,655.7243936849666
228,2290,654.1280310624044
229,2300,653.9351255380454
230,2310,655.7039287129535
231,2320,657.2760959107612
232,2330,656.1270882533643
233,2340,658.1474285798262
234,2350,659.5419323078404
235,2360,656.7093253313124
236,2370,655.5373661981291
237,2380,654.7013491797314
238,2390,658.8494848422887
239,2400,661.2491730262628
240,2410,659.9339303340319
241,2420,657.7341562065452
242,2430,654.9238449741424
243,2440,649.8398077399331
244,2450,652.1948896680626
245,2460,652.4028990283592
246,2470,647.2039976685561
247,2480,646.5669857356932
248,2490,642.2963800433122
249,2500,634.0499646443218
250,2510,635.8296798355389
251,2520,633.4678512848068
252,2530,637.7301943503163
253,2540,636.8205494839697
254,2550,633.2353745971285
255,2560,636.0571261324707
256,2570,637.2782445303388
257,2580,639.3122152775753
258,2590,641.0062600598529
259,2600,634.8616145522259
260,2610,636.5142415724349
261,2620,635.6339088651179
262,2630,627.6333037078961
263,2640,627.2235949959583
264,2650,620.605021533918
265,2660,620.9054748650213
266,2670,620.240968557629
267,2680,621.5371151363806
268,2690,612.2028104516612
269,2700,617.6422339612793
270,2710,613.0931977313213
271,2720,615.9050232833522
272,2730,616.4420430476148
273,2740,613.7193307779786
274,2750,614.688387823066
275,2760,613.8212863423507
276,2770,617.1033315521587
277,2780,613.28921866336
278,2790,605.5645169689332
279,2800,605.9993426432809
280,2810,607.6804803718261
281,2820,608.7111542592003
282,2830,605.9530233192565
283,2840,605.9384607556757
284,2850,605.5391290646849
285,2860,606.0389995316722
286,2870,606.0556729341109
287,2880,604.535669800688
288,2890,600.1694507076098
289,2900,600.2991456180753
290,2910,600.9125272047755
291,2920,596.7799606397655
292,2930,597.0499661524568
293,2940,596.3955399507265
294,2950,596.1659903213308
295,2960,592.764275368828
296,2970,593.2380308035328
297,2980,592.608882497871
298,2990,594.0934684186809
299,3000,589.6610202567269
300,3010,590.8085494112089
301,3020,592.0571813552199
302,3030,593.8506877736676
303,3040,591.7769542903314
304,3050,591.9245635310701
305,3060,589.8281838239199
306,3070,589.5026890583581
307,3080,588.6818354067482
308,3090,584.5619864192524
309,3100,578.1680557203719
310,3110,578.3887573426745
311,3120,580.3396398655873
312,3130,582.6637539503495
313,3140,577.7015004836549
314,3150,574.2380004123478
315,3160,569.2356939560796
316,3170,567.8282873311
317,3180,569.6202524172327
318,3190,565.7235064248532
319,3200,566.7417447151124
320,3210,569.5992411492045
321,3220,573.0391911781229
322,3230,571.0971003347577
323,3240,572.3268235660599
324,3250,573.55361741816
325,3260,568.6166648238084
326,3270,567.0705059536189
327,3280,565.4570175107668
328,3290,566.829132545922
329,3300,570.2125290602673
330,3310,569.6179013458961
331,3320,565.6361615856836
332,3330,561.8897206442642
333,3340,562.3957122664755
334,3350,566.4997054920161
335,3360,567.3778353995494
336,3370,560.0992056923584
337,3380,560.6519274125798
338,3390,557.9740417696671
339,3400,556.430181909208
340,3410,553.9494493059765
341,3420,551.4852529465927
342,3430,551.4788219395632
343,3440,548.7451397041357
344,3450,549.4747178689636
345,3460,546.3409424810192
346,3470,545.1413461647875
347,3480,540.4448319456039
348,3490,540.3087995438908
349,3500,540.5301145816591
350,3510,540.249505423994
351,3520,538.1779833770305
352,3530,535.8219444586789
353,3540,535.3919279678448
354,3550,532.6854448530604
355,3560,535.2863241640264
356,3570,535.7922763438795
357,3580,538.2270873557574
358,3590,536.8099635698842
359,3600,538.2424712445196
360,3610,537.089392165705
361,3620,538.0192273974667
362,3630,537.2321475530306
363,3640,536.6481721985913
364,3650,535.8092327606216
365,3660,535.2794812334446
366,3670,534.0240308219394
367,3680,534.9775043152165
368,3690,533.5075976279347
369,3700,535.5791329075907
370,3710,530.3415012975166
371,3720,524.8657464913929
372,3730,521.9658333503834
373,3740,520.1329669856904
374,3750,518.2872887461252
375,3760,517.1186272842955
376,3770,519.6702528331759
377,3780,518.4597862495555
378,3790,515.1290676126331
379,3800,511.72880204557265
380,3810,509.07168606311154
381,3820,509.4155560820164
382,3830,506.4341340891974
383,3840,503.81788615506963
384,3850,506.12590211320907
385,3860,506.22898945512753
386,3870,510.0940282837829
387,3880,512.1967118082814
388,3890,512.9077441167686
389,3900,509.60071027963545
390,3910,511.52615258699876
391,3920,509.89741442911605
392,3930,508.4977516629672
393,3940,505.1864524127581
394,3950,503.44570143381645
395,3960,501.49881056394696
396,3970,499.47853408705873
397,3980,497.53514314959335
398,3990,493.7216135862453
399,4000,496.2368294360856
400,4010,499.0707487415036
401,4020,502.4552236314876
402,4030,502.72062057049175
403,4040,498.4506582272012
404,4050,497.9324847575296
405,4060,493.2234649260564
406,4070,492.5509081564147
407,4080,492.5979799533558
408,4090,492.54046912759185
409,4100,489.6058457264383
410,4110,490.18878693846705
411,4120,488.9251492051768
412,4130,490.38156213323515
413,4140,490.01840721876806
414,4150,486.5849056764072
415,4160,484.39528037918706
416,4170,484.7665534746503
417,4180,483.587655949406
418,4190,483.01025997991815
419,4200,483.2403851827556
420,4210,482.5562863310821
421,4220,480.2254468086173
422,4230,476.92632119283854
423,4240,476.14473537853706
424,4250,475.45655357519195
425,4260,476.95065709569815
426,4270,473.6012073978559
427,4280,472.7660620829703
428,4290,471.21253495285583
429,4300,473.88454897610393
430,4310,470.3777302616389
431,4320,472.15573032818776
432,4330,470.52542022906346
433,4340,470.3481987897111
434,4350,465.3833828892977
435,4360,465.53363703024
436,4370,464.8322234708
