,iter,loss
0,10,462.8654756786939
1,20,872.6410401474617
2,30,1257.083493435323
3,40,1609.727581888628
4,50,1921.7472723582953
5,60,2203.542218226645
6,70,2465.16470420465
7,80,2683.9946155212656
8,90,2865.901799994129
9,100,3025.0653959018496
10,110,3156.8262157527847
11,120,3282.443326921742
12,130,3394.556404448144
13,140,3504.8998289974284
14,150,3575.30886664986
15,160,3639.012500185891
16,170,3715.4811424824693
17,180,3760.3445026402346
18,190,3792.6526626930417
19,200,3861.766322833841
20,210,3872.127633590786
21,220,3938.5008117934476
22,230,3959.328174352486
23,240,3963.457293632729
24,250,3970.0342370236576
25,260,3970.234615158091
26,270,3974.1790128667453
27,280,3977.9523800769975
28,290,3982.9690349887396
29,300,3982.034154211803
30,310,4011.1462481786016
31,320,4000.4000859298167
32,330,4033.2343609964014
33,340,3990.5984541302582
34,350,3987.01381534871
35,360,3978.5223030795546
36,370,3975.319336356045
37,380,3948.609209308385
38,390,3917.737409108944
39,400,3881.4233851455597
40,410,3862.6441194891813
41,420,3874.2848148783023
42,430,3816.9528586442125
43,440,3789.32474036717
44,450,3741.454493523638
45,460,3725.373116607289
46,470,3692.5710122065175
47,480,3682.715791648268
48,490,3675.3359136218887
49,500,3669.346879591614
50,510,3632.8148978488366
51,520,3614.753637373628
52,530,3586.4929811586467
53,540,3568.7150532883993
54,550,3542.273620525354
55,560,3511.9829071704553
56,570,3468.5938533471644
57,580,3443.1317029647626
58,590,3397.7034767874834
59,600,3368.5064928079055
60,610,3361.1629089684543
61,620,3329.6264801436023
62,630,3333.9803553388074
63,640,3315.245573890608
64,650,3290.4188528504233
65,660,3259.240200895836
66,670,3227.9212563496103
67,680,3186.600094768335
68,690,3163.640949908742
69,700,3144.1449065665697
70,710,3116.849296701061
71,720,3094.7155292536977
72,730,3082.0791596987106
73,740,3044.8901003694164
74,750,3023.0047268433905
75,760,3017.16977441993
76,770,3023.885713756486
77,780,2993.267069299628
78,790,2984.8404885949776
79,800,2954.308189116008
80,810,2931.7625575723973
81,820,2895.498518880115
82,830,2895.7055546437646
83,840,2891.2024988836815
84,850,2869.060520100237
85,860,2822.529917201967
86,870,2802.0755101262507
87,880,2777.889900723686
88,890,2774.4902823715356
89,900,2740.2841873796433
90,910,2730.620320536906
91,920,2716.1222690099685
92,930,2688.9120189689597
93,940,2673.3364626193516
94,950,2645.804970717455
95,960,2613.5745672907105
96,970,2594.490498065868
97,980,2590.228464686492
98,990,2596.7912044090967
99,1000,2570.198074611413
100,1010,2553.2676176442246
101,1020,2547.5493571142033
102,1030,2528.0437186947947
103,1040,2508.807655131125
104,1050,2493.5342080704313
105,1060,2466.3244349664683
106,1070,2443.6272082898618
107,1080,2435.985719002201
108,1090,2431.1668199226174
109,1100,2391.399154344899
110,1110,2405.2223908027195
111,1120,2376.276759114854
112,1130,2361.971206498829
113,1140,2366.6693249313366
114,1150,2361.277248913937
115,1160,2323.7557511778114
116,1170,2323.229174519126
117,1180,2299.8291736480023
118,1190,2273.972915533522
119,1200,2263.370552254574
120,1210,2253.3326511173464
121,1220,2242.98708394878
122,1230,2228.79896360615
123,1240,2231.9909387838607
124,1250,2209.0582182916037
125,1260,2206.69650872089
126,1270,2200.2919599338043
127,1280,2200.2564883306777
128,1290,2202.9209065184805
129,1300,2170.555751841418
130,1310,2159.654532021335
131,1320,2147.6686829871533
132,1330,2146.3332857434425
133,1340,2121.6167734413298
134,1350,2111.1931453211378
135,1360,2104.718122897617
136,1370,2110.7317470625944
137,1380,2085.55770503528
138,1390,2074.5412793200535
139,1400,2050.0671974202824
140,1410,2039.676663408751
141,1420,2023.3967861255062
142,1430,2009.124278724606
143,1440,2003.8167336980482
144,1450,1998.2950078386016
145,1460,1993.5752075782887
146,1470,1996.9585871165677
147,1480,1987.5084668295112
148,1490,1983.3076435157577
149,1500,1977.6719124547728
150,1510,1966.1727979644752
151,1520,1958.0760090719941
152,1530,1946.6106513645832
153,1540,1953.5630165581647
154,1550,1957.8095979999296
155,1560,1939.463288510903
156,1570,1917.995011527845
157,1580,1906.6201066314272
158,1590,1911.2101149669504
159,1600,1903.6470119509602
160,1610,1910.794872924608
