deg,width,func,epoch,train_loss,val_loss,batch_size,lr,n_samples,func_val_test,time_elapsed,backend,top_eig,trace,top_eig_train,trace_train,stop_loss,ln_eps,ln,weight_norm,l,d,f,h,dropout,wd,N,sam,sam_rho,asam
5,20,0,59580,tensor(0.0580),tensor(0.0675),256,0.002,20000,tensor([2.7638]),935.356,nccl,2482.769775390625,3405.1693349984976,2533.82861328125,3184.2094095865887,0.02,1e-05,False,25.36734169328637,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76850,tensor(0.0485),tensor(0.0508),256,0.002,20000,tensor([2.8828]),1200.858,nccl,1713.8948974609375,3307.5712231445314,1633.389892578125,3040.205857220818,0.02,1e-05,False,24.90175837876295,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,59590,tensor(0.0568),tensor(0.0627),256,0.002,20000,tensor([2.7638]),935.515,nccl,2496.687744140625,3089.1211627462635,2551.842041015625,3511.98362275743,0.02,1e-05,False,25.394573680105783,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76860,tensor(0.0481),tensor(0.0515),256,0.002,20000,tensor([2.8828]),1201.012,nccl,1751.165283203125,3273.3124755859376,1687.07421875,3723.8185713918588,0.02,1e-05,False,24.879000583817746,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,59600,tensor(0.0569),tensor(0.0614),256,0.002,20000,tensor([2.7638]),935.676,nccl,2547.78759765625,2497.766366141183,2561.773193359375,2861.5797403971355,0.02,1e-05,False,25.42414007804478,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76870,tensor(0.0517),tensor(0.0603),256,0.002,20000,tensor([2.8828]),1201.168,nccl,1754.9765625,3994.7330961681546,1700.7222900390625,3643.7426317003037,0.02,1e-05,False,24.849262136401137,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,59610,tensor(0.0567),tensor(0.0596),256,0.002,20000,tensor([2.7638]),935.828,nccl,2483.517822265625,3254.62595476423,2532.499267578125,4208.146999961452,0.02,1e-05,False,25.44457130648708,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76880,tensor(0.0507),tensor(0.0507),256,0.002,20000,tensor([2.8828]),1201.321,nccl,1617.0123291015625,3385.526395089286,1633.8067626953125,3282.3423046875,0.02,1e-05,False,24.831976800655987,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,59620,tensor(0.0568),tensor(0.0614),256,0.002,20000,tensor([2.7638]),935.983,nccl,2459.683349609375,3205.0492442737927,2526.033203125,3728.5537288890164,0.02,1e-05,False,25.421231284404996,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76890,tensor(0.0499),tensor(0.0530),256,0.002,20000,tensor([2.8828]),1201.476,nccl,1505.9688720703125,2609.893816266741,1508.0399169921875,3866.903533037971,0.02,1e-05,False,24.803615686599375,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,59630,tensor(0.0593),tensor(0.0655),256,0.002,20000,tensor([2.7638]),936.136,nccl,2548.158203125,4071.8878553235854,2549.775390625,3623.0364458637855,0.02,1e-05,False,25.42350011020422,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76900,tensor(0.0495),tensor(0.0565),256,0.002,20000,tensor([2.8828]),1201.633,nccl,1586.0767822265625,4268.3527721058235,1580.2034912109375,3346.9474504258897,0.02,1e-05,False,24.79474935666719,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,59640,tensor(0.0570),tensor(0.0586),256,0.002,20000,tensor([2.7638]),936.293,nccl,2476.085693359375,3338.9559953477647,2558.17529296875,3035.5163724875147,0.02,1e-05,False,25.40215151088709,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76910,tensor(0.0480),tensor(0.0501),256,0.002,20000,tensor([2.8828]),1201.787,nccl,1671.0206298828125,3007.9295401224276,1612.741455078125,3550.1732818603514,0.02,1e-05,False,24.788264172695087,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,59650,tensor(0.0563),tensor(0.0633),256,0.002,20000,tensor([2.7638]),936.45,nccl,2463.791015625,3648.491453109249,2521.06005859375,3298.3973048618864,0.02,1e-05,False,25.380639325720644,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76920,tensor(0.0513),tensor(0.0551),256,0.002,20000,tensor([2.8828]),1201.944,nccl,1567.5716552734375,3038.910982019761,1557.13037109375,2831.4420623779297,0.02,1e-05,False,24.770811439721722,,30,128,1,0.1,0.0001,20,False,0.05,False
