,iter,loss
0,10,126.09601007833488
1,20,240.02861687803238
2,30,344.43129308115783
3,40,429.07792352147754
4,50,502.8802830239275
5,60,566.3392751866038
6,70,632.1329225981825
7,80,693.3421420898646
8,90,741.0453756357902
9,100,786.4047443136948
10,110,826.5278229621566
11,120,855.1129639246831
12,130,874.5823208810359
13,140,888.5602100427569
14,150,909.9085129082551
15,160,928.4811354699344
16,170,938.7213175374509
17,180,949.3548960234532
18,190,961.3590171872451
19,200,973.433247452066
20,210,976.335879270799
21,220,982.6053463118589
22,230,985.43661966137
23,240,983.1955449217069
24,250,986.0846752345863
25,260,988.5048250456757
26,270,984.9648768413232
27,280,981.4276989066234
28,290,985.4406925187344
29,300,973.8053388323815
30,310,974.9046591191591
31,320,972.8018861151393
32,330,960.8822155789725
33,340,969.1235673730068
34,350,958.3891733028573
35,360,958.3743751742106
36,370,945.6846436886217
37,380,943.0635186288656
38,390,939.4585181912822
39,400,932.7826351517122
40,410,922.5970685259628
41,420,913.4071092750869
42,430,905.0962934496263
43,440,902.8390205755591
44,450,896.8482206534716
45,460,889.6417384067565
46,470,886.9080289425086
47,480,881.7889868788875
48,490,869.8613986029303
49,500,863.3551929040907
50,510,859.5215225870443
51,520,853.3452321188851
52,530,851.1613404936664
53,540,849.6720841388214
54,550,844.4481945560925
55,560,842.1633006420451
56,570,833.7710245247337
57,580,828.135720432541
58,590,828.7491080606992
59,600,821.2769971403875
60,610,813.0022946145112
61,620,807.2810832359527
62,630,800.5558790253168
63,640,792.5809403814795
64,650,790.9317612004676
65,660,789.7630903338305
66,670,783.1060689540798
67,680,774.4615820333553
68,690,769.68272775502
69,700,767.5974150522046
70,710,765.5474413695596
71,720,762.7190033824269
72,730,761.0749671595981
73,740,753.4773291977707
74,750,747.9667806131301
75,760,747.7689078419382
76,770,749.3730623413296
77,780,749.8437370374752
78,790,751.4681092759109
79,800,742.9516222547278
80,810,740.4448792861648
81,820,738.2571200099829
82,830,737.5345662663659
83,840,732.2965958730441
84,850,734.3747913329514
85,860,731.0759111935175
