,iter,loss
0,10,245.05683715833678
1,20,480.3769632120789
2,30,683.1202469999563
3,40,852.0975921261626
4,50,989.2912313757655
5,60,1126.8382631769464
6,70,1265.9632674842042
7,80,1390.5441441021824
8,90,1503.864528256373
9,100,1596.1052897042653
10,110,1662.3924899060753
11,120,1712.4925837335265
12,130,1770.0569371349975
13,140,1815.7103114612028
14,150,1868.6875698304577
15,160,1882.5709221606191
16,170,1908.0591695453613
17,180,1943.7254455993748
18,190,1980.0922068630148
19,200,2018.5797519857492
20,210,2035.9104505863327
21,220,2059.788667112799
22,230,2077.880240901257
23,240,2077.137300070358
24,250,2082.5335511778226
25,260,2110.7737968628844
26,270,2111.123227357077
27,280,2114.5914622172695
28,290,2129.534007106178
29,300,2118.1011077665516
30,310,2101.8138424531026
31,320,2109.5808552966487
32,330,2100.2398545445217
33,340,2081.6088178494983
34,350,2081.3915371237363
35,360,2061.979862577284
36,370,2061.105351240656
37,380,2050.805595093241
38,390,2047.2541841211655
39,400,2040.7533838439747
40,410,2040.3131795579918
41,420,2032.6299479404577
42,430,2032.7564795648432
43,440,2029.0912894471805
44,450,2020.4453994549237
45,460,2020.3372136818248
46,470,2008.286273373399
47,480,1987.959151509763
48,490,1984.1681495258053
49,500,1963.653573397354
50,510,1948.8807283237272
51,520,1931.6350216943276
52,530,1924.330607446623
53,540,1914.448904241553
54,550,1912.0808480054247
55,560,1896.9957838138232
56,570,1888.4531638745232
57,580,1884.449096969714
58,590,1890.7056023607677
59,600,1878.915773872007
60,610,1871.6337136074885
61,620,1850.543164004254
62,630,1856.3067225740954
63,640,1868.0886855444267
64,650,1845.464748408152
65,660,1841.7987164981737
66,670,1817.5075600457317
67,680,1814.7962246216014
68,690,1795.1632433381853
69,700,1793.575217340113
70,710,1781.7338974187596
71,720,1771.3475633573314
72,730,1745.16124794327
73,740,1744.1466815726462
74,750,1719.6325367466322
75,760,1724.8303056498164
76,770,1705.3472543523283
77,780,1697.7442500593309
78,790,1687.958190652472
79,800,1681.6228476919814
80,810,1682.0403404844908
81,820,1663.0634582850241
82,830,1656.3523874591153
83,840,1657.7973046201114
84,850,1652.422686709066
85,860,1638.3672873382295
86,870,1633.346535142165
87,880,1634.7091351322945
88,890,1629.7075463815327
89,900,1621.7955676123506
90,910,1605.0865198470194
91,920,1588.0990632096732
92,930,1576.32833044691
93,940,1570.215197205246
94,950,1584.9092723413858
95,960,1579.1284075778751
96,970,1571.3290446102965
97,980,1580.4940139721723
98,990,1569.473406832829
99,1000,1563.3298431633461
100,1010,1563.793126667959
101,1020,1552.776621786961
102,1030,1538.0795112672258
103,1040,1523.452685523279
104,1050,1507.9048612986985
105,1060,1478.5516637847813
106,1070,1474.0810815425452
107,1080,1471.1265428310762
108,1090,1471.8542760959492
109,1100,1470.4921755723858
110,1110,1450.356415950136
111,1120,1443.3717616914792
112,1130,1451.424280575263
113,1140,1444.7795693141159
114,1150,1439.023273071168
115,1160,1440.354592363283
116,1170,1438.4046619782475
117,1180,1434.2262268000115
118,1190,1407.344241887144
119,1200,1400.4361202825896
120,1210,1399.750180509372
121,1220,1405.1956555678512
122,1230,1414.4710994057345
123,1240,1410.1897492187986
124,1250,1410.8539809896324
125,1260,1391.790382349687
126,1270,1398.6013210343458
127,1280,1387.112599767342
128,1290,1379.7495812824434
129,1300,1389.2104659514096
130,1310,1372.9855326000798
131,1320,1371.3166140913327
132,1330,1374.9521719495528
133,1340,1360.1087940849422
134,1350,1359.0634476322625
135,1360,1358.3291539751613
136,1370,1346.6858862206843
137,1380,1350.8195275341927
138,1390,1337.7395021894306
139,1400,1334.6671480274463
140,1410,1327.2025576214382
141,1420,1309.618979713739
142,1430,1311.5306752120987
143,1440,1297.5092958040927
144,1450,1297.3273582563754
145,1460,1294.2988831017014
146,1470,1289.951164266575
147,1480,1286.0077818145485
148,1490,1286.6905002596206
149,1500,1292.2275232458467
150,1510,1284.3631987870374
151,1520,1286.211430678446
152,1530,1290.3339138792853
153,1540,1278.0768030384527
154,1550,1281.021050147623
155,1560,1278.3493239618067
156,1570,1254.3236814853658
157,1580,1254.1557740378726
158,1590,1243.421935739167
159,1600,1243.1355830929417
160,1610,1240.084419549998
161,1620,1242.4405082889489
162,1630,1246.3325752183691
163,1640,1239.258841467987
164,1650,1238.3914235065095
165,1660,1242.947085648322
166,1670,1238.3319007820812
167,1680,1228.167458698861
168,1690,1229.6854366083617
169,1700,1229.7526162973832
170,1710,1225.4867374749908
171,1720,1209.742363480772
172,1730,1214.8859423697559
173,1740,1202.190105237121
174,1750,1195.7500180253921
175,1760,1195.152447540769
176,1770,1183.089125155292
177,1780,1188.5905698280583
178,1790,1186.2585287468858
179,1800,1186.564341945498
180,1810,1184.4546124445665
181,1820,1182.9458975592845
182,1830,1185.373720330621
183,1840,1189.8867282185026
184,1850,1189.8392943535207
185,1860,1179.3339897142973
186,1870,1180.6535313719507
187,1880,1180.0198417995684
188,1890,1183.4599991695707
189,1900,1193.836661014547
190,1910,1187.3623309553352
191,1920,1185.075284105482
192,1930,1178.4062782104752
193,1940,1167.7132975084648
194,1950,1158.0103969934219
195,1960,1154.0658209997787
196,1970,1150.5064706509127
197,1980,1140.4384644117847
198,1990,1131.6909909007657
199,2000,1127.1716311994587
200,2010,1134.1669962777264
201,2020,1137.5911734353028
202,2030,1136.211815498496
203,2040,1141.1546724474488
204,2050,1137.6263829980776
205,2060,1130.053589655584
206,2070,1124.0931170192875
207,2080,1110.15467357996
208,2090,1110.0190885899772
209,2100,1111.3333564828706
210,2110,1104.3950140097943
211,2120,1102.0573605804295
212,2130,1099.6982674114975
213,2140,1095.168447161098
214,2150,1096.845757605556
215,2160,1098.9330349526226
216,2170,1096.5868847643328
217,2180,1097.7869009259496
218,2190,1113.8227399545788
219,2200,1117.8425070312794
220,2210,1121.9287783131151
221,2220,1129.6297814714221
222,2230,1127.4634550009043
223,2240,1127.6135814419672
224,2250,1112.0463577931566
225,2260,1106.5128398615439
226,2270,1094.7761159910715
227,2280,1087.0203656570216
228,2290,1073.5209588420953
229,2300,1067.7516876307332
230,2310,1067.8915565478444
231,2320,1062.528999648245
232,2330,1063.0882175874965
233,2340,1064.3512568990611
234,2350,1066.5959355940129
235,2360,1064.8086010213035
236,2370,1068.6688189385425
237,2380,1065.962267092422
238,2390,1058.3204972979286
239,2400,1043.807418365769
240,2410,1040.9117483496068
241,2420,1041.69369002541
242,2430,1043.2355588402902
243,2440,1035.161245970099
244,2450,1041.1326789926034
245,2460,1045.0582049647105
246,2470,1041.8291041371858
247,2480,1043.8576754828784
248,2490,1042.3788031447295
249,2500,1048.0828198635436
250,2510,1045.8372007531987
251,2520,1050.590982221691
252,2530,1047.9424453045312
253,2540,1050.3841773791316
254,2550,1049.264382287203
255,2560,1056.4545378820837
256,2570,1042.2850669167228
257,2580,1042.9364285560027
258,2590,1029.9659543503637
259,2600,1021.1237279108327
260,2610,1012.258627309243
261,2620,1010.8101949962124
262,2630,1007.9700057714181
263,2640,1009.1171742445362
264,2650,1008.3593794608295
265,2660,1007.9858017195806
266,2670,1008.5385463917424
267,2680,1008.5448805253819
268,2690,1000.8601766958263
269,2700,1003.4659483987355
270,2710,1001.937862214606
271,2720,996.6705726458674
272,2730,992.5933822239766
273,2740,996.773975647307
274,2750,999.6225473977023
275,2760,988.3442204978911
276,2770,985.0118347751894
277,2780,983.9323784364892
278,2790,981.3268765118341
279,2800,984.7049279520475
280,2810,985.0268825262342
281,2820,978.5726982141704
282,2830,971.02963053158
283,2840,961.2269206382268
284,2850,956.5627979155132
285,2860,956.589114474657
286,2870,951.698553204386
287,2880,954.6699875660662
288,2890,952.0391398354773
289,2900,947.6620750657246
290,2910,945.9417610531777
291,2920,947.4656292747881
292,2930,951.9854996958392
293,2940,953.3316764180167
294,2950,956.4410010506033
295,2960,957.4293765234036
296,2970,958.2047232535192
297,2980,965.6991420371858
298,2990,952.0091193101283
299,3000,948.2140068206737
300,3010,947.0219040092534
301,3020,948.7847727063162
302,3030,941.5168710573728
303,3040,939.7752532871747
304,3050,940.9225919787141
305,3060,938.5663670198272
306,3070,933.9953579594946
307,3080,931.7467432729114
308,3090,934.0986005461333
309,3100,934.6264459223578
310,3110,930.6148478644383
311,3120,927.4057931040508
312,3130,929.3047929218516
313,3140,932.5784148563349
314,3150,926.8639493018329
315,3160,933.411163908636
316,3170,931.0646653443607
317,3180,930.5027184125836
318,3190,938.078744923957
319,3200,931.9369059611405
320,3210,924.4599224053087
321,3220,918.9243915490955
322,3230,915.137934459142
323,3240,907.9620421723263
324,3250,898.8673712414618
325,3260,902.6176287891304
326,3270,897.6468776144696
327,3280,899.3648018441625
328,3290,893.4975168270818
329,3300,899.3170247304411
330,3310,896.476911497527
331,3320,895.9033644285754
332,3330,887.5795503958054
333,3340,883.7497300975052
334,3350,883.898988162981
335,3360,881.0137994979216
336,3370,871.3606427693542
337,3380,875.1240034294398
338,3390,882.4782354867842
339,3400,885.1636628437998
340,3410,887.5636755345527
341,3420,885.528427878094
342,3430,880.6815846091415
343,3440,879.5980114035345
344,3450,878.0163180745578
345,3460,870.9270199178675
346,3470,866.373402403763
347,3480,868.4984979731802
348,3490,870.1456820479257
349,3500,863.6359321780506
350,3510,861.563478454232
351,3520,864.231641631209
352,3530,854.1552214493605
353,3540,858.0785966420597
354,3550,852.2159286173367
355,3560,856.3601778140569
356,3570,854.6362570757354
357,3580,854.2541074733189
358,3590,853.4107407291029
359,3600,851.2512962806636
360,3610,851.1036227792523
361,3620,841.935798376953
362,3630,847.800345461579
363,3640,839.3101557211243
364,3650,844.4831412033349
365,3660,841.5020099733067
366,3670,831.0728719196819
367,3680,831.4470231367046
368,3690,826.8294293687727
369,3700,837.2496150829395
370,3710,828.2216454451162
371,3720,828.8162969546531
372,3730,825.0322783553813
373,3740,825.6898468764981
374,3750,817.2984664751294
375,3760,822.7651955028921
376,3770,823.8204183210381
377,3780,823.3231345182303
378,3790,824.7205320343079
379,3800,818.6575443333394
380,3810,812.8169617114728
381,3820,811.6561239830763
382,3830,813.4310852639857
383,3840,819.4228758598392
384,3850,813.4844052816229
385,3860,807.2800453668364
386,3870,809.9565423158538
387,3880,807.957298745558
388,3890,807.3643243612967
389,3900,808.0855741154335
390,3910,808.0282949152138
391,3920,797.9116561061223
392,3930,790.2485876770895
393,3940,787.3539677905787
394,3950,788.0627488535174
395,3960,793.439819941177
396,3970,791.9093453474696
397,3980,790.2829321692565
398,3990,783.5055444393877
399,4000,787.1305319875629
400,4010,783.8346584822863
401,4020,784.0429263390067
402,4030,779.9982496211898
403,4040,778.297278968587
404,4050,775.5533865271746
405,4060,771.2939609768528
406,4070,770.9566961265582
407,4080,770.1520711702558
408,4090,774.1984856592592
409,4100,770.7272499782258
410,4110,768.5201213481785
411,4120,770.8642926333579
412,4130,769.3350703006432
413,4140,768.8580126898477
414,4150,770.0845340990887
415,4160,767.7930020685632
416,4170,768.0440337484634
417,4180,761.3481898995396
418,4190,766.2513403426516
419,4200,763.8125785020316
420,4210,754.0295311207387
421,4220,750.3206925076489
422,4230,743.5262524055335
423,4240,746.3374292475366
424,4250,743.7192570993008
425,4260,739.801975400352
426,4270,740.8766942523566
427,4280,739.878102245121
428,4290,742.5433002316236
429,4300,733.0260676606451
430,4310,728.772885685532
431,4320,732.641229372318
432,4330,739.2985624323927
433,4340,737.9844865851144
434,4350,730.2711986292373
435,4360,731.9602094424285
436,4370,728.3966499137554
437,4380,722.2101881188721
438,4390,718.5797409410359
439,4400,726.0564232258499
440,4410,722.9687678228939
441,4420,721.8945107400983
442,4430,721.071160917125
443,4440,718.7613098929637
444,4450,719.4717549764565
445,4460,719.6436972967655
446,4470,716.9565088590133
447,4480,719.4159242368645
448,4490,714.9998017554085
449,4500,713.0612121871571
450,4510,707.0838251656075
451,4520,707.7365676123703
452,4530,702.7608025336388
453,4540,698.2215941612183
454,4550,697.1695892135201
455,4560,705.3641294934756
456,4570,702.5335591296681
457,4580,698.7970473752937
458,4590,697.1424260959255
459,4600,688.6623268378369
460,4610,688.5384059869813
461,4620,689.1952587904975
462,4630,689.5529551362148
463,4640,689.1850856160946
464,4650,685.895603956995
465,4660,682.2065709238279
466,4670,684.1793257847118
467,4680,679.6080969136723
468,4690,680.1806895062136
469,4700,677.15413589613
470,4710,679.1871069739457
471,4720,674.5839255924498
472,4730,680.1873392390318
473,4740,672.978847073212
474,4750,670.0573132133168
475,4760,665.1083870673881
476,4770,672.9578301676077
477,4780,670.6858269135478
478,4790,666.1639898895671
479,4800,660.8226626253188
480,4810,659.5399820112109
481,4820,658.7857735234684
482,4830,661.4675422847433
483,4840,658.1471171063605
484,4850,658.0074181951991
485,4860,656.0770331690255
486,4870,656.23523178324
487,4880,654.6357131450626
488,4890,652.5118912465502
489,4900,650.3326013654796
490,4910,649.2346621300001
491,4920,649.1166653858995
492,4930,645.542876648472
493,4940,647.8251374484166
494,4950,645.0767334315371
495,4960,644.2226674934416
496,4970,644.6888138786852
497,4980,637.8652010632366
498,4990,637.3452999855452
499,5000,634.7867948489594
500,5010,637.7993691289222
501,5020,633.6826098677225
502,5030,629.2062037574118
503,5040,629.7990405078617
504,5050,629.2968066529618
505,5060,629.4048334626581
506,5070,632.0962814129487
507,5080,630.0085474064092
508,5090,627.6843678007724
509,5100,624.780556671778
510,5110,618.2628197318944
511,5120,618.3941692113071
512,5130,618.3094212042892
513,5140,620.4932646132751
514,5150,620.1106508352294
515,5160,620.6951118989931
516,5170,615.0928213712111
517,5180,613.5281465934487
518,5190,616.4625776417781
519,5200,613.4903910238417
520,5210,610.0376388571816
521,5220,606.5607173287397
522,5230,602.8260414794479
523,5240,602.1435840257008
524,5250,597.9964464999703
525,5260,593.7802111431694
526,5270,595.8964659623362
527,5280,596.4714012027666
528,5290,592.4735492435025
529,5300,587.8586959125741
530,5310,590.2281901368016
531,5320,589.5397033195497
532,5330,593.014715536751
533,5340,593.064644811965
534,5350,591.2130819555805
535,5360,590.8970673317629
536,5370,586.9752779535962
537,5380,585.6547968708569
538,5390,586.3494391160631
539,5400,588.153656829486
540,5410,587.6598292565321
541,5420,590.3588632895129
542,5430,586.5288292142859
543,5440,583.4102072199116
544,5450,581.6939308359238
545,5460,578.6042526807214
546,5470,577.1984528329672
547,5480,573.2613663252091
548,5490,570.6245550307842
549,5500,564.964471611084
550,5510,562.1406804799647
551,5520,558.9898266596409
552,5530,561.7075713048822
553,5540,567.0082874180748
554,5550,566.3171428471131
555,5560,568.0792988400469
556,5570,563.2658287333861
557,5580,556.6291992222729
558,5590,550.5175755352453
559,5600,548.1516147043211
560,5610,552.1232600765195
561,5620,548.9371191839332
562,5630,552.0271174620932
563,5640,554.8115919866926
564,5650,552.0208092147425
565,5660,550.9243955443856
566,5670,548.510829938189
567,5680,551.9520751156214
568,5690,543.6728263401444
569,5700,545.7457418583311
570,5710,539.2786642970012
571,5720,535.303670507042
572,5730,533.8987535427161
573,5740,539.169181760781
574,5750,538.5549453707257
575,5760,538.0458313431959
576,5770,534.8685521572971
577,5780,532.5578739041086
578,5790,533.6422526816372
579,5800,531.5589059933897
580,5810,530.7356501287306
581,5820,531.4361406108447
582,5830,529.8597350389032
583,5840,528.7875011168879
584,5850,525.7558463396526
585,5860,524.2656065501541
586,5870,524.1233458133972
587,5880,525.3461082415204
588,5890,517.930405193112
589,5900,518.1321202023429
590,5910,516.0254381315672
591,5920,511.94250669426725
592,5930,515.437707251258
593,5940,516.7202979098852
594,5950,518.0775245794734
595,5960,513.0645725616769
596,5970,511.52017735171466
597,5980,511.6906515695993
598,5990,508.4413053503143
599,6000,511.41425430786546
600,6010,506.6221592913504
601,6020,502.71420797128974
602,6030,498.22880244563163
603,6040,500.4419669334348
604,6050,501.20220569141304
605,6060,500.52258718759833
606,6070,499.0111863461072
607,6080,496.41745909188074
608,6090,495.5482075372248
609,6100,494.35823178299603
610,6110,494.2929019132825
611,6120,493.3500383064678
612,6130,489.88929914119393
613,6140,490.44813260800737
614,6150,484.1674882689353
615,6160,482.21866824248934
616,6170,481.9110830654836
617,6180,483.9922938884973
618,6190,484.30230226319645
619,6200,484.82908720556276
620,6210,480.3558957340477
621,6220,478.71132983293285
622,6230,476.81559798834223
623,6240,476.71682895839575
624,6250,475.686518113217
625,6260,477.6817125307231
626,6270,475.8457814631003
627,6280,475.5784443989333
628,6290,472.71172833019176
629,6300,469.3009416806937
630,6310,470.6438526944879
631,6320,468.61831962454215
632,6330,467.48301311826225
633,6340,466.6617862009584
634,6350,463.7948354142858
635,6360,466.1053825154638
636,6370,468.9957815369851
637,6380,469.0973390381454
638,6390,463.42248865272336
639,6400,464.3699826566903
640,6410,462.34342730485
641,6420,461.483937633125
642,6430,457.29665055864257
643,6440,453.7298333578978
644,6450,453.10118015972495
645,6460,452.0589564421938
646,6470,450.85966413128045
647,6480,450.3679519325296
648,6490,451.1984343647022
649,6500,449.66226238206673
650,6510,447.44033159361095
651,6520,443.9296385265735
652,6530,443.58008245244116
653,6540,442.7711773935732
654,6550,442.65792257588583
655,6560,441.6719919634718
656,6570,439.7065250121935
657,6580,440.6939341151601
658,6590,440.46398117650915
659,6600,438.35671573976373
660,6610,433.87375162833405
661,6620,435.78030419724604
662,6630,436.5179144757141
663,6640,437.55628556629375
664,6650,434.7382331962937
665,6660,432.4649504111682
666,6670,432.5804967672352
667,6680,427.9384137471619
668,6690,427.05407610112064
669,6700,428.42261819417274
670,6710,425.22731332577445
671,6720,425.6021946032196
672,6730,425.0422678656111
673,6740,421.15296328037937
674,6750,421.30103494625257
675,6760,416.7275571445784
676,6770,414.1405327205755
677,6780,417.1112767622681
678,6790,417.5566005908264
679,6800,416.06845023108497
680,6810,411.9696093909548
681,6820,410.0166285865143
682,6830,409.2546548936387
683,6840,407.73345621982963
684,6850,406.45766092169725
685,6860,406.5541053547683
686,6870,406.61630237482086
687,6880,408.92270995595345
688,6890,407.58771104185735
689,6900,404.23847907425534
690,6910,405.701004819048
691,6920,401.9165673675558
692,6930,402.56117564685877
693,6940,397.6061419654189
694,6950,399.1036829270579
695,6960,396.968247697408
696,6970,395.3280886543254
697,6980,396.8460970473195
698,6990,393.4018349775637
699,7000,396.1530134518443
700,7010,396.9307089958606
701,7020,397.9081561147408
702,7030,395.1083405346338
703,7040,391.2294965322314
704,7050,390.2586700211051
705,7060,386.9906320652883
706,7070,389.1732528854746
707,7080,391.17475159784817
708,7090,390.0501175451474
709,7100,388.56375564730513
710,7110,386.8148102552004
711,7120,382.5772641903691
