,iter,loss
0,10,363.3235744329177
1,20,636.0451235212847
2,30,933.6898059621954
3,40,1172.3625157916563
4,50,1391.5042927690506
5,60,1569.4698123567914
6,70,1740.276325631925
7,80,1907.5661031010986
8,90,2058.7164803406463
9,100,2213.8688349588892
10,110,2321.754975575926
11,120,2397.904524025042
12,130,2504.2986171058837
13,140,2576.854894211846
14,150,2668.1045485077584
15,160,2748.9458892562143
16,170,2833.6726285924683
17,180,2868.2889721315655
18,190,2916.2318293219796
19,200,2956.2411416025293
20,210,2972.1580214830633
21,220,2998.293163937075
22,230,3023.556645621748
23,240,3035.436258969476
24,250,3039.106690392602
25,260,3053.0673484185877
26,270,3088.0034070860042
27,280,3097.34801902946
28,290,3089.4569350210163
29,300,3102.2969341286957
30,310,3113.304870594992
31,320,3105.6867658998367
32,330,3119.5006172458425
33,340,3137.394490890946
34,350,3128.386528130494
35,360,3125.609702735474
36,370,3095.9961125559616
37,380,3088.2879331502245
38,390,3082.04021807928
39,400,3070.0143010916736
40,410,3059.765406860516
41,420,3021.4404302300745
42,430,3034.1226462857853
43,440,3037.9981438176083
44,450,3030.651680290433
45,460,3053.4586096178796
46,470,3077.215467587768
47,480,3075.500728786239
48,490,3078.489899373972
49,500,3067.6187574845194
50,510,3035.3131502863243
51,520,3030.6803004819662
52,530,3029.3224658944596
53,540,3026.667732830804
54,550,3020.1033707806127
55,560,3004.6518711183217
56,570,2988.7932211033076
57,580,2975.9425187980464
58,590,2962.755111858883
59,600,2954.9283293533404
60,610,2930.6060237765087
61,620,2936.6012810350558
62,630,2931.5659210116087
63,640,2931.9526203846126
64,650,2901.220251804092
65,660,2881.910947645845
66,670,2899.5701024327523
67,680,2898.5957273052118
68,690,2896.6561862791964
69,700,2875.13923181279
70,710,2878.4333216796213
71,720,2888.8667365041038
72,730,2878.210226025829
73,740,2840.749267538557
74,750,2822.061555855911
75,760,2817.953351889947
76,770,2800.2386530254516
77,780,2810.410842932106
78,790,2818.1757466523763
79,800,2796.9340990425967
80,810,2788.234788984517
81,820,2784.292728264285
82,830,2789.889859294076
83,840,2789.7313398724623
84,850,2793.9726683744266
85,860,2779.482035316194
86,870,2753.7713677323695
87,880,2733.0327305753103
88,890,2734.3940831389586
89,900,2733.239433006684
90,910,2713.8855694469676
91,920,2715.334578998906
92,930,2722.7770745903113
93,940,2721.5669708441105
94,950,2704.3687654889245
95,960,2697.8336149235756
96,970,2692.444225575511
97,980,2685.764805419322
98,990,2677.4615885343214
99,1000,2679.377874233748
100,1010,2665.960111144477
101,1020,2678.764114876485
102,1030,2666.0504795710544
103,1040,2665.8050629780323
104,1050,2659.43727170333
105,1060,2650.231570853889
106,1070,2664.628683140051
107,1080,2655.7535579843257
108,1090,2654.974807577974
109,1100,2625.475603477091
110,1110,2612.487721060081
111,1120,2633.146759675594
112,1130,2607.132459675127
113,1140,2606.3477025790758
114,1150,2581.0963474128844
115,1160,2583.322839763517
116,1170,2570.981034501025
117,1180,2598.6172305611567
118,1190,2596.8563813633514
119,1200,2601.0702654860975
120,1210,2602.7689532315408
121,1220,2615.7346775981982
122,1230,2593.072445822642
123,1240,2571.815077970181
124,1250,2551.09859209379
125,1260,2552.321172457196
126,1270,2545.0561631548835
127,1280,2517.4455328457375
128,1290,2519.1433351141745
129,1300,2502.7455760965413
130,1310,2491.8256289275196
131,1320,2504.755026912052
132,1330,2538.9193717479984
133,1340,2516.812950792433
134,1350,2525.540150069205
135,1360,2509.8257834218102
136,1370,2500.6298046213687
137,1380,2493.993673897081
138,1390,2515.9134324233205
139,1400,2516.230412189761
140,1410,2528.107232865337
141,1420,2527.168471143058
